a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t
-0.682222799,,1.331868205,-0.573444442,-0.359225133,-1.610940895,-1.285290434,-1.597657948,-0.80013388,-0.549994493,0.429759275,-1.022669889,-0.724219569,-0.230164679,-0.501638553,0.188771001,-0.523915754,-0.904114205,-1.175872621,0.600641524
,0.592910979,-1.3253535,-0.151497808,-1.076357493,0.740397195,-0.835780961,0.198127233,-1.096418326,0.445116592,-1.907244373,0.568153045,0.993437156,-1.090720879,,-0.295265035,-0.172694847,-0.309872594,-0.315324434,-0.508370327
-0.922205378,-0.677366164,-0.656063837,-1.63492113,-0.582170507,0.786564117,0.472246485,-1.154618893,-2.122377318,0.822202287,,-0.278189964,0.393957739,-1.990634337,-0.900566577,-0.956018403,-1.055029149,-1.531378778,,-0.514063356
-1.146850389,0.551847426,-0.436358245,0.060118046,,0.886146823,1.739114984,-0.081947279,-1.504342805,1.376652328,-0.371083315,,-1.55962266,-2.048426262,-1.122859797,1.116721187,0.120194974,0.628762539,-0.416168876,0.280088009
2.169717018,-2.143465745,0.242792913,0.392288895,-0.926947612,-0.892704687,0.199739525,,-1.607051536,0.490660571,1.917571267,-1.014636398,0.873568448,-0.019370813,-1.064275705,0.052812602,-1.190716827,-1.285950796,0.172806186,0.335684635
-0.528447953,0.475785625,-0.259695337,0.680794897,-0.429824744,1.276403131,0.420067744,-1.161555783,-1.448720158,-0.880002595,,-0.205532801,0.133328467,,0.495673441,-1.338836471,-0.500893615,-0.07526352,-1.046794222,0.649895475
-0.349038521,-1.372047427,-0.72691495,-0.033623606,,-0.488536381,0.583049869,0.127035597,-1.055931016,-0.038971157,-1.250024415,0.097008362,-1.280333785,,-0.799749781,-0.214590312,-0.525532808,,-0.740286612,1.483142368
0.142354144,-1.038791297,0.261300423,-0.652727892,,-0.255889302,1.092043079,-0.754017784,0.922318732,-0.317116579,1.376092238,-0.510286925,0.326129847,,-0.955919733,,1.409324143,-0.378266259,0.646808436,-2.408680357
-2.374563785,-0.780342614,1.38013135,,-0.803410113,1.065612844,-0.884214026,0.242449123,-1.465228751,0.870649472,-1.26167433,-0.831440408,-1.797094829,-0.52790222,-0.981255421,0.877686097,-0.125208003,-1.92809257,-1.404569008,
-2.267506849,-0.384942008,2.407568293,0.63054552,0.230348554,-1.012056808,-1.635131304,1.405549632,0.788267348,-0.686313096,1.310000934,-1.518132538,-1.200074534,0.266333787,-1.308203431,1.703421509,-0.195441866,-0.54663444,-1.006393796,0.15255906
-0.936400734,0.278478492,-2.531673309,-1.484678239,0.751995511,0.274037982,-0.914449095,0.137511873,0.80373216,1.330799031,-2.81326812,-0.341851911,,0.055631256,-0.256112668,2.607116856,,-0.580400911,-0.423942875,-0.291324796
-0.547995241,-1.441904064,-1.529542513,-0.846778982,0.822981989,,,-1.388917782,0.227671296,,-0.141320935,-0.437822728,-0.496898142,-0.297433596,-0.937295616,-0.927190377,-0.560988728,,-0.827653375,0.617419238
0.81307998,-1.640780868,-0.02945592,-1.221500897,-0.693635804,-0.939898978,,1.394844022,-0.157576608,,0.564683377,-1.130294044,0.10591329,-1.510210504,-1.619484486,-0.906983432,-0.660706756,-1.084482538,1.022172591,-0.274287355
1.362691215,-0.302070306,-0.636508213,1.174051378,-0.051285418,0.517411409,1.315770835,0.929050431,-1.905364062,1.538661155,-1.74955464,1.675717677,1.609012094,-1.373721389,1.763414595,1.474964404,-0.139083179,-0.464401442,1.082341697,-0.942766143
-0.189846443,0.899629904,1.564119994,1.625451462,,1.174346413,0.811023175,-0.668153128,0.324999706,0.993782177,0.358710241,,-0.263953457,0.074304238,-0.250583133,0.481495994,2.36517973,2.592759333,0.347704894,-1.856241324
0.839026974,-0.342159169,-0.614688024,0.108576693,0.948856054,-0.267793787,-0.416483234,-0.668751604,2.152241445,-1.812449039,-2.265364662,-0.30477693,0.47523448,0.917348426,-0.481692644,-0.686865497,0.939784268,0.394718212,-0.139343992,0.03902948
1.078991115,0.850666114,-0.217088898,1.085903912,0.729999802,,2.088048831,-1.385768262,-1.021886413,0.910550516,-0.777540559,1.693202735,0.939776071,1.066051417,1.551811289,-0.203398405,0.199830149,0.598500747,0.586101566,1.331032691
-0.826243458,-0.475145345,-1.292875916,-2.341926077,-1.993791414,-1.047844308,0.200019219,0.921315734,-2.171626672,,-1.904170628,-0.652868612,-0.681969251,-1.684038789,-0.996986662,0.388581767,-0.587020689,-0.962876122,-1.903992835,-0.001234202
-0.3952517,0.018665354,0.479041783,,,-0.047059885,-1.643768249,,0.813949363,1.668991951,-1.475381731,0.994346615,-0.330051356,0.616328821,,-1.039610607,1.205398798,0.940156642,0.57740007,0.689857476
,0.604653938,-1.4020038,-1.094876549,-0.955525638,0.788978711,1.260000961,-1.64277173,-1.407157466,1.681155681,-0.596121842,-0.299551556,-1.283603579,-0.229639234,-0.781934914,-1.363037013,-0.687434652,0.340071991,-1.332496526,0.675954764
0.083816288,-0.045243031,-0.237929057,0.774283858,-0.728540785,0.132711872,-0.694003444,-1.332600415,-0.527688746,-0.241877781,0.367019067,-1.386183555,-0.801053568,-1.34378206,-0.988644989,-0.622466882,-1.289552586,0.035951546,-1.027928993,2.031228387
0.943343841,-0.675779672,,0.853402007,-0.884795994,-1.04750406,-0.51890275,1.257923455,-2.096451633,,0.408523138,0.978269965,0.309116707,1.683653357,,1.418898271,,,0.402025226,-0.059560105
-0.977706974,-0.371052732,-0.7026077,-0.490250556,-0.223504195,-0.368359374,-0.39682492,1.768516109,0.137044684,,,-1.199603185,-0.91550023,0.00885027,-1.726280125,-1.67960328,0.464394761,-0.029430234,0.034414428,-1.090666513
-1.224800697,-1.503644024,0.659227202,-0.65429722,0.406396674,-0.803571669,-0.923101262,0.268126941,1.493829232,-0.729346505,-0.348445357,-1.131451329,-1.086868266,0.204749654,-0.677918679,-1.115629859,0.515162125,-1.186045842,-0.591495768,-1.735299598
-0.188521771,1.657903209,0.53056132,0.805620627,1.702072848,0.475404457,0.961514035,,2.729649614,-1.0384906,0.536891338,1.12434178,0.584699933,1.98972975,1.774807997,-0.212241617,1.712003395,2.397436194,1.440694732,2.133369003
,1.941932552,1.051335324,-0.800726063,1.242922215,-0.030653489,-0.910988631,0.84129002,0.371082831,-1.060264116,0.837539056,0.837409614,-0.348644191,-0.574282314,1.640407791,1.133152898,,1.528813563,1.654611294,0.423391565
0.0072871,1.047336987,-0.988545551,2.15689397,0.919853399,0.951116799,1.447307653,0.721176413,0.278505071,0.863576066,1.181861886,1.030699306,-0.798606182,0.131501757,1.114181382,0.38792859,,1.817022492,,
0.210728468,-1.283621376,0.375801391,,0.091873171,-1.496590732,0.018506733,0.700156291,0.695678897,-0.628381991,0.624041348,-1.435764779,0.405134763,-0.238465897,0.460427942,0.38180243,-0.689975722,-1.220297599,-0.407810107,-0.18189841
0.785972439,,0.267672882,0.052572566,0.230787227,-0.977996298,-1.607168713,-0.052379993,1.008445294,-2.363095778,0.322497879,-1.191313952,2.36931694,-1.601647244,-0.675198783,-0.943249655,0.571442132,,-1.580586062,-1.445179329
0.40463913,-0.600334013,1.142263721,1.295223346,-0.520698386,-0.272030818,-0.53501148,1.13251238,0.520281435,0.229292908,0.911031633,0.554605145,0.129380226,-0.668989156,-0.230713959,1.636798413,-0.968344341,-0.718593274,0.719892233,0.969858762
-1.3098351,-0.376391282,1.018967603,-0.036085331,0.264150239,-0.183645976,-1.672878273,1.195736194,-0.349744453,-0.482454251,1.018578865,,,0.393212419,-1.651429655,-0.77210671,-0.534985291,-1.950860813,-0.607736739,-0.106027099
0.654620825,,,-1.371884837,1.048002724,1.349977474,,0.899781846,-0.140254197,1.152619507,0.930901833,-0.098673798,1.831140515,0.702827626,1.341404822,1.179666282,-0.014603173,0.331547239,1.115721127,-1.681333984
-0.844087751,-0.618568367,,-1.079206869,-0.249928043,-0.194057609,-0.06029215,0.661037422,0.563803244,,-0.699820278,-0.960820784,-0.270209104,-0.876428315,0.257013453,-0.310176833,,-0.219750858,0.483436579,-0.977861973
1.058001128,2.191685598,0.85192467,1.544478808,-0.405025491,1.271779007,-0.776020258,0.307340865,,,,-0.205359819,0.516604486,0.033991543,-0.236593477,-0.751216974,0.883646745,0.549268184,0.472103195,1.339880151
-0.546324587,3.368875037,0.884315676,,-2.528774617,,0.949106674,0.29942434,-2.646795805,1.443234729,,0.588482551,-1.343019059,-0.403179928,-0.064107304,-0.097535413,-0.498407448,1.61350236,-0.636850314,-0.982369584
